doy,year,hour,shf,site,loc,sensorZ
184,2016,11.5,13.81014,hd,moss,5
184,2016,12,15.74745,hd,moss,5
184,2016,12.5,18.76625,hd,moss,5
184,2016,13,17.88853,hd,moss,5
184,2016,13.5,16.43262,hd,moss,5
184,2016,14,16.60658,hd,moss,5
184,2016,14.5,15.19798,hd,moss,5
184,2016,15,13.52211,hd,moss,5
184,2016,15.5,11.93942,hd,moss,5
184,2016,16,11.12716,hd,moss,5
184,2016,16.5,11.30622,hd,moss,5
184,2016,17,10.9327,hd,moss,5
184,2016,17.5,10.5202,hd,moss,5
184,2016,18,10.13175,hd,moss,5
184,2016,18.5,9.516451,hd,moss,5
184,2016,19,8.647143,hd,moss,5
184,2016,19.5,7.877897,hd,moss,5
184,2016,20,7.409094,hd,moss,5
184,2016,20.5,7.17417,hd,moss,5
184,2016,21,6.640582,hd,moss,5
184,2016,21.5,6.0469,hd,moss,5
184,2016,22,5.666361,hd,moss,5
184,2016,22.5,5.398368,hd,moss,5
184,2016,23,5.147232,hd,moss,5
184,2016,23.5,4.810118,hd,moss,5
185,2016,0,4.150968,hd,moss,5
185,2016,0.5,3.467079,hd,moss,5
185,2016,1,3.157665,hd,moss,5
185,2016,1.5,3.020912,hd,moss,5
185,2016,2,2.79266,hd,moss,5
185,2016,2.5,2.66319,hd,moss,5
185,2016,3,2.67234,hd,moss,5
185,2016,3.5,2.706903,hd,moss,5
185,2016,4,2.655888,hd,moss,5
185,2016,4.5,2.593078,hd,moss,5
185,2016,5,2.586884,hd,moss,5
185,2016,5.5,2.800039,hd,moss,5
185,2016,6,3.07081,hd,moss,5
185,2016,6.5,3.242967,hd,moss,5
185,2016,7,3.404763,hd,moss,5
185,2016,7.5,3.631348,hd,moss,5
185,2016,8,4.160873,hd,moss,5
185,2016,8.5,5.042293,hd,moss,5
185,2016,9,5.880327,hd,moss,5
185,2016,9.5,6.645495,hd,moss,5
185,2016,10,7.298913,hd,moss,5
185,2016,10.5,7.789813,hd,moss,5
185,2016,11,8.319749,hd,moss,5
185,2016,11.5,9.267289,hd,moss,5
185,2016,12,10.98764,hd,moss,5
185,2016,12.5,13.40395,hd,moss,5
185,2016,13,13.25497,hd,moss,5
185,2016,13.5,12.56225,hd,moss,5
185,2016,14,12.92698,hd,moss,5
185,2016,14.5,12.05195,hd,moss,5
185,2016,15,10.93965,hd,moss,5
185,2016,15.5,9.732325,hd,moss,5
185,2016,16,9.058097,hd,moss,5
185,2016,16.5,9.145256,hd,moss,5
185,2016,17,8.473668,hd,moss,5
185,2016,17.5,7.792382,hd,moss,5
185,2016,18,7.351358,hd,moss,5
185,2016,18.5,6.913556,hd,moss,5
185,2016,19,6.333145,hd,moss,5
185,2016,19.5,5.658999,hd,moss,5
185,2016,20,4.963836,hd,moss,5
185,2016,20.5,4.554023,hd,moss,5
185,2016,21,4.132046,hd,moss,5
185,2016,21.5,3.57185,hd,moss,5
185,2016,22,3.066297,hd,moss,5
185,2016,22.5,2.658794,hd,moss,5
185,2016,23,2.277884,hd,moss,5
185,2016,23.5,1.833593,hd,moss,5
186,2016,0,1.391043,hd,moss,5
186,2016,0.5,1.074913,hd,moss,5
186,2016,1,0.9338896,hd,moss,5
186,2016,1.5,0.9525251,hd,moss,5
186,2016,2,1.033824,hd,moss,5
186,2016,2.5,1.126102,hd,moss,5
186,2016,3,1.253492,hd,moss,5
186,2016,3.5,1.427596,hd,moss,5
186,2016,4,1.681713,hd,moss,5
186,2016,4.5,1.98079,hd,moss,5
186,2016,5,2.322716,hd,moss,5
186,2016,5.5,2.31759,hd,moss,5
186,2016,6,2.207686,hd,moss,5
186,2016,6.5,2.431259,hd,moss,5
186,2016,7,2.829284,hd,moss,5
186,2016,7.5,3.310079,hd,moss,5
186,2016,8,3.802812,hd,moss,5
186,2016,8.5,4.326768,hd,moss,5
186,2016,9,5.086197,hd,moss,5
186,2016,9.5,6.168714,hd,moss,5
186,2016,10,7.566792,hd,moss,5
186,2016,10.5,8.416785,hd,moss,5
186,2016,11,8.827122,hd,moss,5
186,2016,11.5,9.891603,hd,moss,5
186,2016,12,12.2463,hd,moss,5
186,2016,12.5,15.61091,hd,moss,5
186,2016,13,14.98299,hd,moss,5
186,2016,13.5,14.04563,hd,moss,5
186,2016,14,14.44968,hd,moss,5
186,2016,14.5,13.44868,hd,moss,5
186,2016,15,12.34417,hd,moss,5
186,2016,15.5,11.34319,hd,moss,5
186,2016,16,10.73663,hd,moss,5
186,2016,16.5,9.878106,hd,moss,5
186,2016,17,9.000262,hd,moss,5
186,2016,17.5,8.936327,hd,moss,5
186,2016,18,9.114347,hd,moss,5
186,2016,18.5,8.691504,hd,moss,5
186,2016,19,8.414642,hd,moss,5
186,2016,19.5,8.135122,hd,moss,5
186,2016,20,7.687043,hd,moss,5
186,2016,20.5,7.465797,hd,moss,5
186,2016,21,6.85078,hd,moss,5
186,2016,21.5,6.036849,hd,moss,5
186,2016,22,5.241129,hd,moss,5
186,2016,22.5,4.347048,hd,moss,5
