doy,year,hour,tempS,sensorZ,sensInfo,sensorLoc,site
179,2016,19.5,5.5,10,tempS.5TM,organic interface,hd
179,2016,20,5.4,10,tempS.5TM,organic interface,hd
179,2016,20.5,5.3,10,tempS.5TM,organic interface,hd
179,2016,21,5.2,10,tempS.5TM,organic interface,hd
179,2016,21.5,5.1,10,tempS.5TM,organic interface,hd
179,2016,22,5,10,tempS.5TM,organic interface,hd
179,2016,22.5,4.9,10,tempS.5TM,organic interface,hd
179,2016,23,4.7,10,tempS.5TM,organic interface,hd
179,2016,23.5,4.6,10,tempS.5TM,organic interface,hd
180,2016,0,4.4,10,tempS.5TM,organic interface,hd
180,2016,0.5,4.2,10,tempS.5TM,organic interface,hd
180,2016,1,4,10,tempS.5TM,organic interface,hd
180,2016,1.5,3.9,10,tempS.5TM,organic interface,hd
180,2016,2,3.7,10,tempS.5TM,organic interface,hd
180,2016,2.5,3.4,10,tempS.5TM,organic interface,hd
180,2016,3,3.3,10,tempS.5TM,organic interface,hd
180,2016,3.5,3.2,10,tempS.5TM,organic interface,hd
180,2016,4,3.1,10,tempS.5TM,organic interface,hd
180,2016,4.5,3.1,10,tempS.5TM,organic interface,hd
180,2016,5,3,10,tempS.5TM,organic interface,hd
180,2016,5.5,3,10,tempS.5TM,organic interface,hd
180,2016,6,3,10,tempS.5TM,organic interface,hd
180,2016,6.5,3,10,tempS.5TM,organic interface,hd
180,2016,7,2.9,10,tempS.5TM,organic interface,hd
180,2016,7.5,3,10,tempS.5TM,organic interface,hd
180,2016,8,3,10,tempS.5TM,organic interface,hd
180,2016,8.5,3,10,tempS.5TM,organic interface,hd
180,2016,9,3.1,10,tempS.5TM,organic interface,hd
180,2016,9.5,3.1,10,tempS.5TM,organic interface,hd
180,2016,10,3.3,10,tempS.5TM,organic interface,hd
180,2016,10.5,3.3,10,tempS.5TM,organic interface,hd
180,2016,11,3.4,10,tempS.5TM,organic interface,hd
180,2016,11.5,3.5,10,tempS.5TM,organic interface,hd
180,2016,12,3.6,10,tempS.5TM,organic interface,hd
180,2016,12.5,3.7,10,tempS.5TM,organic interface,hd
180,2016,13,3.8,10,tempS.5TM,organic interface,hd
180,2016,13.5,3.9,10,tempS.5TM,organic interface,hd
