doy,year,hour,shf,site,loc,sensorZ
182,2017,19,17.43408,hd,organic,5
182,2017,19.5,16.59219,hd,organic,5
182,2017,20,15.52823,hd,organic,5
182,2017,20.5,14.63446,hd,organic,5
182,2017,21,13.75456,hd,organic,5
182,2017,21.5,12.66068,hd,organic,5
182,2017,22,11.70712,hd,organic,5
182,2017,22.5,11.06348,hd,organic,5
182,2017,23,10.5343,hd,organic,5
182,2017,23.5,10.05337,hd,organic,5
183,2017,0,9.920529,hd,organic,5
183,2017,0.5,9.890864,hd,organic,5
183,2017,1,9.964578,hd,organic,5
183,2017,1.5,10.01069,hd,organic,5
183,2017,2,9.921578,hd,organic,5
183,2017,2.5,9.874252,hd,organic,5
183,2017,3,9.621574,hd,organic,5
183,2017,3.5,9.315517,hd,organic,5
183,2017,4,9.48548,hd,organic,5
183,2017,4.5,9.77125,hd,organic,5
183,2017,5,10.74843,hd,organic,5
183,2017,5.5,11.17917,hd,organic,5
183,2017,6,11.86098,hd,organic,5
183,2017,6.5,13.2549,hd,organic,5
183,2017,7,14.46049,hd,organic,5
183,2017,7.5,15.81072,hd,organic,5
183,2017,8,16.92231,hd,organic,5
183,2017,8.5,18.83225,hd,organic,5
183,2017,9,18.79433,hd,organic,5
183,2017,9.5,19.54624,hd,organic,5
183,2017,10,21.01199,hd,organic,5
183,2017,10.5,22.83567,hd,organic,5
183,2017,11,23.26123,hd,organic,5
183,2017,11.5,23.00552,hd,organic,5
183,2017,12,21.78804,hd,organic,5
183,2017,12.5,20.42779,hd,organic,5
183,2017,13,19.08881,hd,organic,5
183,2017,13.5,18.38552,hd,organic,5
183,2017,14,18.54693,hd,organic,5
183,2017,14.5,18.76885,hd,organic,5
183,2017,15,19.23212,hd,organic,5
183,2017,15.5,20.62925,hd,organic,5
183,2017,16,20.11807,hd,organic,5
183,2017,16.5,19.22224,hd,organic,5
183,2017,17,18.80921,hd,organic,5
183,2017,17.5,18.85681,hd,organic,5
183,2017,18,18.61354,hd,organic,5
183,2017,18.5,17.80456,hd,organic,5
183,2017,19,17.01999,hd,organic,5
183,2017,19.5,16.25294,hd,organic,5
183,2017,20,15.49466,hd,organic,5
183,2017,20.5,14.70992,hd,organic,5
183,2017,21,14.08863,hd,organic,5
183,2017,21.5,14.06849,hd,organic,5
183,2017,22,14.42714,hd,organic,5
183,2017,22.5,14.3498,hd,organic,5
183,2017,23,13.74187,hd,organic,5
183,2017,23.5,13.39722,hd,organic,5
184,2017,0,13.13863,hd,organic,5
184,2017,0.5,12.54413,hd,organic,5
184,2017,1,11.92656,hd,organic,5
184,2017,1.5,11.39336,hd,organic,5
184,2017,2,11.03297,hd,organic,5
184,2017,2.5,10.7503,hd,organic,5
184,2017,3,10.51418,hd,organic,5
184,2017,3.5,10.40006,hd,organic,5
184,2017,4,10.37519,hd,organic,5
184,2017,4.5,10.45543,hd,organic,5
184,2017,5,10.63592,hd,organic,5
184,2017,5.5,11.12468,hd,organic,5
184,2017,6,11.91319,hd,organic,5
184,2017,6.5,12.88362,hd,organic,5
184,2017,7,13.08182,hd,organic,5
