doy,year,hour,tempS,sensorZ,sensInfo,sensorLoc,site
181,2016,17,6.8,8,tempS.5TM,organic interface,ld
181,2016,17.5,6.8,8,tempS.5TM,organic interface,ld
181,2016,18,6.6,8,tempS.5TM,organic interface,ld
181,2016,18.5,6.4,8,tempS.5TM,organic interface,ld
181,2016,19,6.1,8,tempS.5TM,organic interface,ld
181,2016,19.5,5.9,8,tempS.5TM,organic interface,ld
181,2016,20,5.6,8,tempS.5TM,organic interface,ld
181,2016,20.5,5.4,8,tempS.5TM,organic interface,ld
181,2016,21,5.2,8,tempS.5TM,organic interface,ld
181,2016,21.5,5,8,tempS.5TM,organic interface,ld
181,2016,22,4.7,8,tempS.5TM,organic interface,ld
181,2016,22.5,4.5,8,tempS.5TM,organic interface,ld
181,2016,23,4.3,8,tempS.5TM,organic interface,ld
181,2016,23.5,4.2,8,tempS.5TM,organic interface,ld
182,2016,0,4.1,8,tempS.5TM,organic interface,ld
182,2016,0.5,4,8,tempS.5TM,organic interface,ld
182,2016,1,3.9,8,tempS.5TM,organic interface,ld
182,2016,1.5,3.9,8,tempS.5TM,organic interface,ld
182,2016,2,3.9,8,tempS.5TM,organic interface,ld
182,2016,2.5,3.8,8,tempS.5TM,organic interface,ld
182,2016,3,3.8,8,tempS.5TM,organic interface,ld
182,2016,3.5,3.8,8,tempS.5TM,organic interface,ld
182,2016,4,3.8,8,tempS.5TM,organic interface,ld
182,2016,4.5,3.8,8,tempS.5TM,organic interface,ld
182,2016,5,3.8,8,tempS.5TM,organic interface,ld
182,2016,5.5,3.9,8,tempS.5TM,organic interface,ld
182,2016,6,3.9,8,tempS.5TM,organic interface,ld
182,2016,6.5,4,8,tempS.5TM,organic interface,ld
182,2016,7,4,8,tempS.5TM,organic interface,ld
182,2016,7.5,4.1,8,tempS.5TM,organic interface,ld
182,2016,8,4.2,8,tempS.5TM,organic interface,ld
182,2016,8.5,4.3,8,tempS.5TM,organic interface,ld
182,2016,9,4.5,8,tempS.5TM,organic interface,ld
182,2016,9.5,4.7,8,tempS.5TM,organic interface,ld
182,2016,10,4.8,8,tempS.5TM,organic interface,ld
182,2016,10.5,5.1,8,tempS.5TM,organic interface,ld
182,2016,11,5.2,8,tempS.5TM,organic interface,ld
182,2016,11.5,5.5,8,tempS.5TM,organic interface,ld
182,2016,12,5.7,8,tempS.5TM,organic interface,ld
182,2016,12.5,6,8,tempS.5TM,organic interface,ld
182,2016,13,6.3,8,tempS.5TM,organic interface,ld
182,2016,13.5,6.7,8,tempS.5TM,organic interface,ld
182,2016,14,7,8,tempS.5TM,organic interface,ld
182,2016,14.5,7.2,8,tempS.5TM,organic interface,ld
182,2016,15,7.2,8,tempS.5TM,organic interface,ld
182,2016,15.5,6.9,8,tempS.5TM,organic interface,ld
182,2016,16,6.8,8,tempS.5TM,organic interface,ld
182,2016,16.5,6.7,8,tempS.5TM,organic interface,ld
182,2016,17,6.7,8,tempS.5TM,organic interface,ld
182,2016,17.5,6.7,8,tempS.5TM,organic interface,ld
182,2016,18,6.7,8,tempS.5TM,organic interface,ld
182,2016,18.5,6.5,8,tempS.5TM,organic interface,ld
182,2016,19,6.3,8,tempS.5TM,organic interface,ld
182,2016,19.5,6,8,tempS.5TM,organic interface,ld
182,2016,20,5.8,8,tempS.5TM,organic interface,ld
182,2016,20.5,5.7,8,tempS.5TM,organic interface,ld
182,2016,21,5.5,8,tempS.5TM,organic interface,ld
182,2016,21.5,5.3,8,tempS.5TM,organic interface,ld
182,2016,22,5.2,8,tempS.5TM,organic interface,ld
182,2016,22.5,5,8,tempS.5TM,organic interface,ld
182,2016,23,4.8,8,tempS.5TM,organic interface,ld
182,2016,23.5,4.6,8,tempS.5TM,organic interface,ld
183,2016,0,4.3,8,tempS.5TM,organic interface,ld
183,2016,0.5,4.2,8,tempS.5TM,organic interface,ld
183,2016,1,4.1,8,tempS.5TM,organic interface,ld
183,2016,1.5,4,8,tempS.5TM,organic interface,ld
183,2016,2,3.9,8,tempS.5TM,organic interface,ld
183,2016,2.5,3.9,8,tempS.5TM,organic interface,ld
183,2016,3,3.9,8,tempS.5TM,organic interface,ld
183,2016,3.5,3.9,8,tempS.5TM,organic interface,ld
183,2016,4,3.9,8,tempS.5TM,organic interface,ld
183,2016,4.5,3.9,8,tempS.5TM,organic interface,ld
183,2016,5,4,8,tempS.5TM,organic interface,ld
183,2016,5.5,4.1,8,tempS.5TM,organic interface,ld
183,2016,6,4.2,8,tempS.5TM,organic interface,ld
183,2016,6.5,4.4,8,tempS.5TM,organic interface,ld
183,2016,7,4.9,8,tempS.5TM,organic interface,ld
183,2016,7.5,5.5,8,tempS.5TM,organic interface,ld
183,2016,8,6.1,8,tempS.5TM,organic interface,ld
183,2016,8.5,6.6,8,tempS.5TM,organic interface,ld
183,2016,9,7.2,8,tempS.5TM,organic interface,ld
183,2016,9.5,7.7,8,tempS.5TM,organic interface,ld
183,2016,10,8,8,tempS.5TM,organic interface,ld
183,2016,10.5,8.3,8,tempS.5TM,organic interface,ld
183,2016,11,8.5,8,tempS.5TM,organic interface,ld
